Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Coca-Cola HBC,9.3,0.3,9,9.5,10.2,Greece,Europe,39.074208,21.824312
Kerry Group,7.7,0.4,7.3,7,9.8,Ireland,Europe,53.41291,-8.24389
Nitto Denko,7.3,0.4,6.9,7.8,9.6,Japan,Asia,36.204824,138.252924
Huadian Power International,9.4,0.2,9.2,26.4,4.8,China,Asia,35.86166,104.195397
Banco Davivienda,2.7,0.4,2.3,23.2,6.4,Colombia,South America,4.570868,-74.297333
Wärtsilä,6.2,0.4,5.8,6.5,9.2,Finland,Europe,61.92411,25.748151
IDB Holding,10.1,-0.2,10.3,32.4,0.1,Israel,Asia,31.046051,34.851612
Actavis,5.9,0.1,5.8,14.1,11.7,USA,North America,37.09024,-95.712891
Polyus Gold International,2.8,0.9,1.9,5.6,9.8,UK,Europe,55.378051,-3.435973
Autoliv,8.3,0.5,7.8,6.6,6.6,Sweden,Europe,60.128161,18.643501
Red Eléctrica,2.3,0.6,1.7,12,7.5,Spain,Europe,40.463667,-3.74922
Saputo,7,0.4,6.6,3.7,9.7,Canada,North America,56.130366,-106.346771
Showa Shell Sekiyu,30.3,0,30.3,14,2.6,Japan,Asia,36.204824,138.252924
Community Health Sys,14.5,0.3,14.2,16.6,4.1,USA,North America,37.09024,-95.712891
City Developments,2.7,0.6,2.1,12.8,7.8,Singapore,Asia,1.352083,103.819836
Zoetis,4.3,0.4,3.9,6.3,16.7,USA,North America,37.09024,-95.712891
Hong Leong Financial,2.3,0.4,1.9,53.6,4.8,Malaysia,Asia,4.210484,101.975766
Jupiter Telecommunications,4.7,0.5,4.2,9.4,8.9,Japan,Asia,36.204824,138.252924
Crown Holdings,8.5,0.6,7.9,7.5,5.8,USA,North America,37.09024,-95.712891
PVH,6,0.4,5.6,7.8,9.6,USA,North America,37.09024,-95.712891
Bank Leumi,4.7,0.2,4.5,100.7,5.1,Israel,Asia,31.046051,34.851612
MediaTek,3.4,0.5,2.9,7.2,15.4,Taiwan,Asia,23.69781,120.960515
Manila Electric,6.8,0.4,6.4,5.3,9.2,Philippines,Asia,12.879721,121.774017
Israel Corp,11.5,-0.1,11.6,15.7,5.7,Israel,Asia,31.046051,34.851612
Fukuoka Financial Group,3,0.3,2.7,156.6,4.1,Japan,Asia,36.204824,138.252924
Oil & Gas Development,1.8,1,0.8,3.6,8.7,Pakistan,Asia,30.375321,69.345116
Crown Castle International,2.4,0.2,2.2,16.1,20.5,USA,North America,37.09024,-95.712891
China Merchants Property,3.3,0.5,2.8,17.5,6.1,China,Asia,35.86166,104.195397
TDC,4.6,0.6,4,11.2,6.4,Denmark,Europe,56.26392,9.501785
AGCO,10,0.5,9.5,7.7,5.3,USA,North America,37.09024,-95.712891
Sekisui Chemical,11.7,0.3,11.4,9.8,5.5,Japan,Asia,36.204824,138.252924
Obayashi,15,0.1,14.9,19.2,3.6,Japan,Asia,36.204824,138.252924
IOI Group,4.9,0.6,4.3,7.2,9.6,Malaysia,Asia,4.210484,101.975766
Essar Energy,16.7,-0.6,17.3,17.4,2.9,UK,Europe,55.378051,-3.435973
Tele2,6.7,0.5,6.2,6.9,7.4,Sweden,Europe,60.128161,18.643501
Aurubis,17.7,0.5,17.2,6.3,3.1,Germany,Europe,51.165691,10.451526
Union Bank of India,4.6,0.3,4.3,51.7,2.4,India,Asia,20.593684,78.96288
Jiangsu Yanghe Brewery,2,0.6,1.4,2.9,12.4,China,Asia,35.86166,104.195397
Moody's,2.7,0.7,2,4,11.5,USA,North America,37.09024,-95.712891
Pegatron,29.8,0.2,29.6,13.5,3.3,Taiwan,Asia,23.69781,120.960515
Sun Pharma Industries,1.6,0.5,1.1,3.1,16,India,Asia,20.593684,78.96288
Taisei,16,0,16,17.7,3.2,Japan,Asia,36.204824,138.252924
ST Engineering,5.2,0.5,4.7,6.5,10.4,Singapore,Asia,1.352083,103.819836
Joy Global,5.7,0.8,4.9,6.2,6.6,USA,North America,37.09024,-95.712891
Beijing Entreprises,4.6,0.4,4.2,11.5,8.6,Hong Kong,Asia,22.396428,114.109497
Amadeus IT Holdings,3.8,0.7,3.1,6.8,11.9,Spain,Europe,40.463667,-3.74922
Torchmark,3.6,0.5,3.1,18.8,5.6,USA,North America,37.09024,-95.712891
China Longyuan Power,2.7,0.4,2.3,17.3,7.2,China,Asia,35.86166,104.195397
Infineon Technologies,5,0.5,4.5,7.2,9.3,Germany,Europe,51.165691,10.451526
Amphenol,4.3,0.6,3.7,5.2,11.6,USA,North America,37.09024,-95.712891
First Republic Bank,1.5,0.4,1.1,34.4,5,USA,North America,37.09024,-95.712891
GF Securities,1,0.3,0.7,12.2,13.9,China,Asia,35.86166,104.195397
GEA Group,7.4,0.4,7,8.5,6.6,Germany,Europe,51.165691,10.451526
Shimizu,16.1,0,16.1,17,2.6,Japan,Asia,36.204824,138.252924
Ball,8.7,0.4,8.3,7.5,6.9,USA,North America,37.09024,-95.712891
Zions Bancorp,2.5,0.3,2.2,55.5,4.7,USA,North America,37.09024,-95.712891
Umicore,16.6,0.3,16.3,4.7,5.9,Belgium,Europe,50.503887,4.469936
Wuhan Iron & Steel,16.1,0.2,15.9,15.5,4.5,China,Asia,35.86166,104.195397
Odakyu Electric Railway,6.1,0.2,5.9,15.9,8.8,Japan,Asia,36.204824,138.252924
US Steel,19.3,-0.1,19.4,15.2,2.9,USA,North America,37.09024,-95.712891
Alfresa Holdings,28.2,0.1,28.1,13.1,2.7,Japan,Asia,36.204824,138.252924
Atos,11.7,0.3,11.4,9.3,6.4,France,Europe,46.227638,2.213749
Agile Property Holdings,4.8,0.8,4,14.7,4,China,Asia,35.86166,104.195397
Yuanta Financial Holding,1.2,0.4,0.8,25.3,5.1,Taiwan,Asia,23.69781,120.960515
Eurasian Natural Resources,6.3,-0.8,7.1,20.2,6.8,UK,Europe,55.378051,-3.435973
Abengoa,10.3,0.2,10.1,25.5,1.5,Spain,Europe,40.463667,-3.74922
DSME,12.5,0.2,12.3,15.2,5,South Korea,Asia,35.907757,127.766922
Hyundai Marine & Fire,8.1,0.4,7.7,16,2.3,South Korea,Asia,35.907757,127.766922
Host Hotels & Resorts,5.3,0.1,5.2,13,12.9,USA,North America,37.09024,-95.712891
MMI Holdings,6.2,0.3,5.9,36.8,4,South Africa,Africa,-30.559482,22.937506
Calpine,5.5,0.2,5.3,16.5,9.2,USA,North America,37.09024,-95.712891
Henry Schein,8.9,0.3,8.6,5.3,7.9,USA,North America,37.09024,-95.712891
Darden Restaurants,8.3,0.4,7.9,7,6.4,USA,North America,37.09024,-95.712891
Acciona,9.3,0.2,9.1,24.9,3.6,Spain,Europe,40.463667,-3.74922
Mitsui Chemicals,17.6,0,17.6,15.2,2.3,Japan,Asia,36.204824,138.252924
Paychex,2.3,0.6,1.7,7.5,12.4,USA,North America,37.09024,-95.712891
Aéroports de Paris,3.5,0.5,3,12.4,8.4,France,Europe,46.227638,2.213749
Supervalu,34.8,-0.5,35.3,11.9,0.9,USA,North America,37.09024,-95.712891
Axis Capital Holdings,3.9,0.5,3.4,18.9,5,Bermuda,North America,32.321384,-64.75737
Universal Health,13.9,0.3,13.6,8.2,6.1,USA,North America,37.09024,-95.712891
Rockwell Collins,4.7,0.6,4.1,5.3,8.7,USA,North America,37.09024,-95.712891
Thai Oil,14.6,0.4,14.2,5.6,4.7,Thailand,Asia,15.870032,100.992541
Raymond James Financial,4.2,0.3,3.9,22.3,6.7,USA,North America,37.09024,-95.712891
Soho China,2.5,1.7,0.8,12.6,4,China,Asia,35.86166,104.195397
Korean Air,11.3,0.2,11.1,21.6,2.6,South Korea,Asia,35.907757,127.766922
Dongbu Insurance,8.2,0.3,7.9,15.6,2.5,South Korea,Asia,35.907757,127.766922
UCB,4,0.3,3.7,11.7,11.7,Belgium,Europe,50.503887,4.469936
Samsung Engineering,10.8,0.5,10.3,5.3,4.7,South Korea,Asia,35.907757,127.766922
Gudang Garam,5.2,0.4,4.8,4.3,9.8,Indonesia,Asia,-0.789275,113.921327
AU Optronics,13,-1.9,14.9,18.2,3.8,Taiwan,Asia,23.69781,120.960515
Olympus,10.2,-0.6,10.8,11.6,6.8,Japan,Asia,36.204824,138.252924
Nippon Paper Industries,12.6,-0.5,13.1,18.5,1.9,Japan,Asia,36.204824,138.252924
Check Point Software,1.4,0.6,0.8,4.5,10.3,Israel,Asia,31.046051,34.851612
Far Eastern New Century,7.8,0.4,7.4,10.9,5.4,Taiwan,Asia,23.69781,120.960515
Commercial Bank of Qatar,1.1,0.6,0.5,22,4.5,Qatar,Asia,25.354826,51.183884
Inner Mongolia Rare-Earth,1.8,0.6,1.2,2.2,11.8,China,Asia,35.86166,104.195397
JGC,6.7,0.5,6.2,6.3,6.7,Japan,Asia,36.204824,138.252924
China Taiping Insurance,8.1,0.1,8,31.3,3.1,Hong Kong,Asia,22.396428,114.109497
Shenzhen Overseas,3,0.6,2.4,11.7,6.7,China,Asia,35.86166,104.195397
AutoNation,15.7,0.3,15.4,6.6,5.4,USA,North America,37.09024,-95.712891
Hua Nan Financial,1.6,0.3,1.3,65.2,5,Taiwan,Asia,23.69781,120.960515
Jabil Circuit,17.6,0.4,17.2,8.2,3.9,USA,North America,37.09024,-95.712891
Caesars Entertainment,8.6,-1.5,10.1,28,2.1,USA,North America,37.09024,-95.712891
Silver Wheaton,0.8,0.6,0.2,3.2,10.8,Canada,North America,56.130366,-106.346771
Alfa Laval,4.6,0.5,4.1,5.1,9.9,Sweden,Europe,60.128161,18.643501
Scana,4.2,0.4,3.8,14.6,6.6,USA,North America,37.09024,-95.712891
Catamaran,9.9,0.1,9.8,7.4,10.7,USA,North America,37.09024,-95.712891
Altera,1.8,0.6,1.2,4.7,11.2,USA,North America,37.09024,-95.712891
Caltex Australia,24.2,0.1,24.1,5,6.2,Australia,Oceania,-25.274398,133.775136
A2A,8.1,0.3,7.8,15.8,1.9,Italy,Europe,41.87194,12.56738
Dassault Systèmes,2.7,0.4,2.3,4.8,14.2,France,Europe,46.227638,2.213749
TAQA,7.5,0.2,7.3,33.3,2.2,United Arab Emirates,Asia,23.424076,53.847818
Taishin Financial Holdings,2.4,0.3,2.1,86.2,2.8,Taiwan,Asia,23.69781,120.960515
SAIC,11.2,0.5,10.7,5.9,4.3,USA,North America,37.09024,-95.712891
Millicom International,4.9,0.5,4.4,7.9,8.2,Luxembourg,Europe,49.815273,6.129583
Taiwan Mobile,3.4,0.5,2.9,3.2,12,Taiwan,Asia,23.69781,120.960515
Peabody Energy,8.1,-0.6,8.7,15.8,5.9,USA,North America,37.09024,-95.712891
Fastenal,3.1,0.4,2.7,1.8,15.1,USA,North America,37.09024,-95.712891
Bilfinger,11.2,0.4,10.8,8.8,4.9,Germany,Europe,51.165691,10.451526
Vallourec,7,0.3,6.7,11.9,6.6,France,Europe,46.227638,2.213749
Hellenic Telecom,6.2,0.6,5.6,10.7,3.7,Greece,Europe,39.074208,21.824312
Aurizon Holdings,3.6,0.5,3.1,10.3,9,Australia,Oceania,-25.274398,133.775136
Rexam,7,0.3,6.7,9.9,6.3,UK,Europe,55.378051,-3.435973
ADT,3.2,0.4,2.8,9.5,11.5,USA,North America,37.09024,-95.712891
Bajaj Auto,3.7,0.6,3.1,2.2,9.9,India,Asia,20.593684,78.96288
Roper Industries,3,0.5,2.5,7.1,12.3,USA,North America,37.09024,-95.712891
Shanghai Construction,14.5,0.3,14.2,13.3,2.7,China,Asia,35.86166,104.195397
China Merchants Holdings,1.4,0.5,0.9,10,8.6,Hong Kong,Asia,22.396428,114.109497
Rock-Tenn,9.2,0.3,8.9,10.5,6.5,USA,North America,37.09024,-95.712891
KLA-Tencor,3.1,0.7,2.4,5.1,8.7,USA,North America,37.09024,-95.712891
Suzuken,22.5,0.1,22.4,11.8,3.1,Japan,Asia,36.204824,138.252924
Cerner,2.7,0.4,2.3,3.7,16,USA,North America,37.09024,-95.712891
First Pacific,6,0.3,5.7,13.9,5.3,Hong Kong,Asia,22.396428,114.109497
Empire,17.4,0.4,17,15,16.9,Canada,North America,56.130366,-106.346771
Semen Indonesia,2.1,0.5,1.6,2.8,11.2,Indonesia,Asia,-0.789275,113.921327
Oriental Land,4.4,0.4,4,7.5,13.3,Japan,Asia,36.204824,138.252924
Rural Electrification,2.1,0.6,1.5,21.7,4.1,India,Asia,20.593684,78.96288
Exxaro Resources,1.5,1.2,0.3,4.9,6.4,South Africa,Africa,-30.559482,22.937506
BYD,7.4,0,7.4,11,8.3,China,Asia,35.86166,104.195397
Impala Platinum Holdings,3.4,0.5,2.9,8.9,9.3,South Africa,Africa,-30.559482,22.937506
Advanced Semiconductor,6.6,0.4,6.2,8.3,6.3,Taiwan,Asia,23.69781,120.960515
Alliance Data Systems,3.6,0.4,3.2,12,7.9,USA,North America,37.09024,-95.712891
Gold Fields,3.4,0.7,2.7,11.2,5.9,South Africa,Africa,-30.559482,22.937506
Angang Steel,12.3,-0.7,13,16.2,4.1,China,Asia,35.86166,104.195397
Denbury Resources,2.5,0.5,2,11.1,7,USA,North America,37.09024,-95.712891
First Financial Holdings,1.5,0.3,1.2,68.7,5.1,Taiwan,Asia,23.69781,120.960515
Pioneer Natural Resources,3.2,0.2,3,13.1,17.3,USA,North America,37.09024,-95.712891
NYSE Euronext,3.7,0.3,3.4,12.6,9.2,USA,North America,37.09024,-95.712891
Celesio,28.6,-0.2,28.8,10.5,3.2,Germany,Europe,51.165691,10.451526
KT&G,3.7,0.7,3,6.3,8.4,South Korea,Asia,35.907757,127.766922
Shanxi Taigang Stainless,15.3,0.3,15,10.5,3.1,China,Asia,35.86166,104.195397
Banco BPI,2.2,0.3,1.9,58.8,2,Portugal,Europe,39.399872,-8.224454
Hanwha Corp,10.2,0.3,9.9,14.9,2.1,South Korea,Asia,35.907757,127.766922
Yang Quan Coal Industry,8,0.4,7.6,4.4,5.4,China,Asia,35.86166,104.195397
Hengan International Group,2.4,0.5,1.9,3.8,11.9,China,Asia,35.86166,104.195397
Petro Rabigh,16.5,0.1,16.4,12.7,4,Saudi Arabia,Asia,23.885942,45.079162
Olam International,13.5,0.3,13.2,10.9,3.1,Singapore,Asia,1.352083,103.819836
Petronas Gas,1.2,0.5,0.7,4.4,11.8,Malaysia,Asia,4.210484,101.975766
Direct Line Insurance,6.1,0.3,5.8,18.8,4.7,UK,Europe,55.378051,-3.435973
Meico Crown Entertainment,4.1,0.4,3.7,7.9,11.5,Hong Kong,Asia,22.396428,114.109497
Bank Danamon Indonesia,2.5,0.4,2.1,16.1,5.9,Indonesia,Asia,-0.789275,113.921327
Life Technologies,3.8,0.4,3.4,8.6,10.8,USA,North America,37.09024,-95.712891
Shanghai Pharmaceuticals,10.8,0.3,10.5,8.1,5.6,China,Asia,35.86166,104.195397
Arca Continental,4.4,0.4,4,4.9,12,Mexico,North America,23.634501,-102.552784
Avon Products,10.7,0,10.7,7.4,8.7,USA,North America,37.09024,-95.712891
Wyndham Worldwide,4.5,0.4,4.1,9.5,8.6,USA,North America,37.09024,-95.712891
SNC-Lavalin Group,7.9,0.3,7.6,9.7,6.4,Canada,North America,56.130366,-106.346771
GPT Group,0.7,0.6,0.1,9.7,6,Australia,Oceania,-25.274398,133.775136
Tasnee,4.8,0.5,4.3,12.2,5.3,Saudi Arabia,Asia,23.885942,45.079162
TPK Holding,5.9,0.5,5.4,3.4,6.7,Taiwan,Asia,23.69781,120.960515
Hysan Development,0.3,1.3,-1,8.8,5.2,Hong Kong,Asia,22.396428,114.109497
Capita,5.4,0.4,5,6.3,8.7,UK,Europe,55.378051,-3.435973
Grupo Elektra,5.3,-1.5,6.8,12.8,9.5,Mexico,North America,23.634501,-102.552784
Allahabad Bank,3.3,0.4,2.9,36,1.3,India,Asia,20.593684,78.96288
Ashland,8.1,0.1,8,12.4,6.4,USA,North America,37.09024,-95.712891
WorleyParsons,7.6,0.4,7.2,4.4,6.6,Australia,Oceania,-25.274398,133.775136
Mexichem,4.9,0.4,4.5,7.6,10.8,Mexico,North America,23.634501,-102.552784
American Water Works,2.9,0.4,2.5,14.7,7.1,USA,North America,37.09024,-95.712891
Samsung Electro-Mechanic,7,0.4,6.6,6.5,6.4,South Korea,Asia,35.907757,127.766922
Yamaha Motor,13.9,0.1,13.8,11.1,4.9,Japan,Asia,36.204824,138.252924
Petsmart,6.8,0.4,6.4,2.5,6.7,USA,North America,37.09024,-95.712891
Brown-Forman,2.4,0.4,2,3.5,14.7,USA,North America,37.09024,-95.712891
Electric Power Development,7.9,0.2,7.7,23.9,3.8,Japan,Asia,36.204824,138.252924
Nomos Bank,2.7,0.4,2.3,29.4,2.6,Russia,Europe,61.52401,105.318756
NHN,2.1,0.5,1.6,2.8,10.4,South Korea,Asia,35.907757,127.766922
SinoPac Financial,1.3,0.3,1,46.7,3.5,Taiwan,Asia,23.69781,120.960515
Daelim Industrial,9.6,0.4,9.2,10.2,2.8,South Korea,Asia,35.907757,127.766922
Fortis (Canada),3.8,0.4,3.4,15,6.9,Canada,North America,56.130366,-106.346771
Hoya,4.4,0.5,3.9,6.7,8.2,Japan,Asia,36.204824,138.252924
Tauron Group,7.6,0.5,7.1,10.1,2.5,Poland,Europe,51.919438,19.145136
Avago Technologies,2.4,0.6,1.8,2.9,8.8,Singapore,Asia,1.352083,103.819836
Protective Life,3.6,0.3,3.3,57.4,2.7,USA,North America,37.09024,-95.712891
China National Chemical,6.9,0.4,6.5,7.2,6.7,China,Asia,35.86166,104.195397
Huntsman,11.2,0.3,10.9,8.9,4.6,USA,North America,37.09024,-95.712891
Crown Ltd,2.8,0.5,2.3,5.9,9.4,Australia,Oceania,-25.274398,133.775136
Mondi,7.7,0.3,7.4,8.7,6.4,UK,Europe,55.378051,-3.435973
Bunzl,8.7,0.3,8.4,4.8,6.5,UK,Europe,55.378051,-3.435973
Concho Resources,1.8,0.4,1.4,8.6,10.1,USA,North America,37.09024,-95.712891
SK Networks,24.8,0,24.8,10,1.7,South Korea,Asia,35.907757,127.766922
Newell Rubbermaid,5.9,0.4,5.5,6.2,7.3,USA,North America,37.09024,-95.712891
Reliance Steel,8.4,0.4,8,5.9,5.3,USA,North America,37.09024,-95.712891
Kingdom Holding,0.8,0.2,0.6,11.2,19,Saudi Arabia,Asia,23.885942,45.079162
Hutchinson Port Holdings,1.6,0.3,1.3,17.4,7.3,Singapore,Asia,1.352083,103.819836
Petronas Dagangan,9.6,0.3,9.3,3.2,7.4,Malaysia,Asia,4.210484,101.975766
Jindal Steel & Power,3.6,0.8,2.8,8.8,6.2,India,Asia,20.593684,78.96288
G4S,11.9,0.1,11.8,9.1,6.4,UK,Europe,55.378051,-3.435973
Perrigo,3.3,0.4,2.9,4.3,10.9,USA,North America,37.09024,-95.712891
Unicharm,5.2,0.3,4.9,5.2,10.6,Japan,Asia,36.204824,138.252924
Nvidia,4.3,0.6,3.7,6.4,7.8,USA,North America,37.09024,-95.712891
Xilinx,2.2,0.5,1.7,4.6,10.1,USA,North America,37.09024,-95.712891
Chang Hwa Bank,1.2,0.3,0.9,52.3,4.3,Taiwan,Asia,23.69781,120.960515
Accor,7.3,-0.8,8.1,10,8.4,France,Europe,46.227638,2.213749
Alpha Bank,4.6,-1.4,6,76.9,0.5,Greece,Europe,39.074208,21.824312
New Hope Liuhe,11.4,0.4,11,3.5,3.6,China,Asia,35.86166,104.195397
Taiwan Cooperative Financial,1.9,0.2,1.7,91,4.5,Taiwan,Asia,23.69781,120.960515
Samsung Card,3.3,0.7,2.6,15.3,4.1,South Korea,Asia,35.907757,127.766922
X5 Retail Group,15.8,-0.1,15.9,9.6,5,Russia,Europe,61.52401,105.318756
Ametek,3.3,0.5,2.8,5.2,10.4,USA,North America,37.09024,-95.712891
CBRE Group,6.5,0.3,6.2,7.8,8.2,USA,North America,37.09024,-95.712891
Smurfit Kappa Group,9.7,0.3,9.4,10.9,3.7,Ireland,Europe,53.41291,-8.24389
BBMG,5.1,0.5,4.6,13.3,4.4,China,Asia,35.86166,104.195397
Bank Audi,2,0.4,1.6,31.3,2.4,Lebanon,Asia,33.854721,35.862285
Flowserve,4.8,0.4,4.4,4.8,8.1,USA,North America,37.09024,-95.712891
Orkla,5.4,0.3,5.1,10.4,8.4,Norway,Europe,60.472024,8.468946
Embraer,6.2,0.3,5.9,9.5,6.3,Brazil,South America,-14.235004,-51.92528
EasyJet,6.2,0.4,5.8,6.9,6.4,UK,Europe,55.378051,-3.435973
Huatai Securities,1.3,0.3,1,13.6,9.5,China,Asia,35.86166,104.195397
BR Malls,0.6,0.9,-0.3,8.7,5.8,Brazil,South America,-14.235004,-51.92528
Hexagon,3.2,0.5,2.7,7,9.8,Sweden,Europe,60.128161,18.643501
Lundbergs,3.3,0.5,2.8,13.9,5.2,Sweden,Europe,60.128161,18.643501
Compal Electronics,23.1,0.2,22.9,9.8,3,Taiwan,Asia,23.69781,120.960515
Neste Oil,23.7,0.2,23.5,9.7,3.8,Finland,Europe,61.92411,25.748151
Travis Perkins,7.9,0.4,7.5,7.1,5,UK,Europe,55.378051,-3.435973
Masraf Al Rayan,0.7,0.4,0.3,16.9,5.1,Qatar,Asia,25.354826,51.183884
Xiamen C&D,12.8,0.4,12.4,8.2,2.3,China,Asia,35.86166,104.195397
China International Marine,8.6,0.3,8.3,10.3,4.9,China,Asia,35.86166,104.195397
Public Power,7.7,0,7.7,21.2,2,Greece,Europe,39.074208,21.824312
Aker Solutions,8.1,0.4,7.7,7.1,5.1,Norway,Europe,60.472024,8.468946
Crescent Point Energy,2,0.2,1.8,12.2,14.4,Canada,North America,56.130366,-106.346771
BS Financial Group,2.1,0.3,1.8,38.6,2.8,South Korea,Asia,35.907757,127.766922
China Merchants Securities,1.1,0.3,0.8,10.9,9.7,China,Asia,35.86166,104.195397
Sino Land,1.1,0.6,0.5,14.7,3.9,Hong Kong,Asia,22.396428,114.109497
HCL Technologies,3.8,0.4,3.4,3.2,10.2,India,Asia,20.593684,78.96288
Citrix Systems,2.6,0.4,2.2,4.8,8.1,USA,North America,37.09024,-95.712891
Financière de l'Odet,11,0.3,10.7,11.1,3.2,France,Europe,46.227638,2.213749
PostNL,5.7,0.9,4.8,6.1,1,The Netherlands,Europe,52.132633,5.291266
InterContinental Hotels,1.9,0.6,1.3,3.1,8.1,UK,Europe,55.378051,-3.435973
Avis Budget Group,7.4,0.3,7.1,15.2,3,USA,North America,37.09024,-95.712891
Natura Cosmeticos,3.1,0.4,2.7,2.5,10.5,Brazil,South America,-14.235004,-51.92528
CGI Group,6.3,0,6.3,10.8,8,Canada,North America,56.130366,-106.346771
Hunan Valin Steel,11.7,0,11.7,13.6,1,China,Asia,35.86166,104.195397
Sigma-Aldrich,2.6,0.5,2.1,3.8,9.5,USA,North America,37.09024,-95.712891
Saudi Arabian Mining,1.5,0.3,1.2,14.7,8.1,Saudi Arabia,Asia,23.885942,45.079162
NSK,8.9,0.3,8.6,10.2,4.2,Japan,Asia,36.204824,138.252924
CR Bard,3,0.5,2.5,4.2,8.3,USA,North America,37.09024,-95.712891
Experditors International,6,0.3,5.7,3,7.9,USA,North America,37.09024,-95.712891
Union National Bank,1.2,0.4,0.8,23.7,2.7,United Arab Emirates,Asia,23.424076,53.847818
Kinross Gold,4.3,-2.5,6.8,14.9,9.1,Canada,North America,56.130366,-106.346771
Weir Group,4.1,0.5,3.6,5.3,7.9,UK,Europe,55.378051,-3.435973
China Communications Services,9.8,0.4,9.4,7.2,4.7,China,Asia,35.86166,104.195397
ICAP,2.7,0.2,2.5,129.9,3.2,UK,Europe,55.378051,-3.435973
Wistron,22.2,0.2,22,9.4,2.5,Taiwan,Asia,23.69781,120.960515
Banca Popolare dell'Emilia,4.1,0,4.1,81.3,2.6,Italy,Europe,41.87194,12.56738
Hokuhoku Financial Group,2.5,0.2,2.3,128.7,2.6,Japan,Asia,36.204824,138.252924
Beam,2.5,0.4,2.1,8.6,10.1,USA,North America,37.09024,-95.712891
Hokkaido Electric Power,7.7,-0.9,8.6,19.6,1.7,Japan,Asia,36.204824,138.252924
Lagardère,9.5,0.1,9.4,12.4,5,France,Europe,46.227638,2.213749
Kansas City Southern,2.2,0.4,1.8,6.4,11.9,USA,North America,37.09024,-95.712891
Pall,2.7,0.6,2.1,3.5,7.6,USA,North America,37.09024,-95.712891
Chinese Estates,0.4,1.3,-0.9,9.6,2.9,Hong Kong,Asia,22.396428,114.109497
Pinnacle West,3.3,0.4,2.9,13.4,6.3,USA,North America,37.09024,-95.712891
BOK Financial,1.5,0.4,1.1,28.1,4.2,USA,North America,37.09024,-95.712891
Yamaguchi Financial,1.8,0.2,1.6,110.2,2.5,Japan,Asia,36.204824,138.252924
Dongfang Electric,6,0.3,5.7,12.6,4.7,China,Asia,35.86166,104.195397
Coloplast,1.9,0.4,1.5,1.8,11.4,Denmark,Europe,56.26392,9.501785
World Fuel Services,38.9,0.2,38.7,4.1,2.9,USA,North America,37.09024,-95.712891
Burberry Group,3,0.4,2.6,2.4,9.7,UK,Europe,55.378051,-3.435973
Salzgitter,13.4,-0.1,13.5,11.7,2.5,Germany,Europe,51.165691,10.451526
Scripps Network Interactive,2.3,0.4,1.9,4.1,9.6,USA,North America,37.09024,-95.712891
Banrisul,3.6,0.4,3.2,22.3,3.6,Brazil,South America,-14.235004,-51.92528
Arkema,8.4,0.3,8.1,7.2,6.4,France,Europe,46.227638,2.213749
Shangri-La Asia,2.1,0.4,1.7,11.9,7.2,Hong Kong,Asia,22.396428,114.109497
Ingredion,6.5,0.4,6.1,5.6,5.3,USA,North America,37.09024,-95.712891
UNY Group Holdings,13.3,0.1,13.2,11.7,1.7,Japan,Asia,36.204824,138.252924
Indian Bank,2.6,0.3,2.3,27.5,1.4,India,Asia,20.593684,78.96288
Joyo Bank,1.9,0.2,1.7,97.1,4.2,Japan,Asia,36.204824,138.252924
Enagas,1.6,0.5,1.1,10.6,5.8,Spain,Europe,40.463667,-3.74922
Teradata,2.7,0.4,2.3,3.1,9.6,USA,North America,37.09024,-95.712891
Nishi-Nippon City Bank,1.9,0.2,1.7,92.7,2.4,Japan,Asia,36.204824,138.252924
Marfrig Group,12.3,-0.1,12.4,12,2.5,Brazil,South America,-14.235004,-51.92528
Hyosung,11.2,0.1,11.1,12.9,1.6,South Korea,Asia,35.907757,127.766922
77 Bank,1.4,0.1,1.3,92.2,2,Japan,Asia,36.204824,138.252924
Wolters Kluwer,4.8,0.4,4.4,8.5,6.6,The Netherlands,Europe,52.132633,5.291266
Plains Exploration,2.6,0.3,2.3,17.3,6.1,USA,North America,37.09024,-95.712891
Empresas CMPC,4.8,0.2,4.6,14,8,Chile,South America,-35.675147,-71.542969
Goodman Group,0.7,0.4,0.3,8.4,8.9,Australia,Oceania,-25.274398,133.775136
Inner Mongolia Yili,6,0.3,5.7,3.2,8.9,China,Asia,35.86166,104.195397
Grupo Argos,3.8,0.2,3.6,15.2,9.5,Colombia,South America,4.570868,-74.297333
CVR Energy,8.6,0.4,8.2,3.6,4.8,USA,North America,37.09024,-95.712891
Magnitogorsk Iron & Steel,8.5,-0.1,8.6,16.2,3.3,Russia,Europe,61.52401,105.318756
TDK,9.8,0,9.8,12.6,4.6,Japan,Asia,36.204824,138.252924
Bank of Kyoto,1.4,0.2,1.2,89.4,3.5,Japan,Asia,36.204824,138.252924
Helmerich & Payne,3.3,0.6,2.7,5.9,7,USA,North America,37.09024,-95.712891
McCormick & Co,4,0.4,3.6,4.2,9.4,USA,North America,37.09024,-95.712891
Buenaventura,1.5,0.7,0.8,4.5,6.3,Peru,South America,-9.189967,-75.015152
Smiths Group,4.7,0.4,4.3,5.3,7.8,UK,Europe,55.378051,-3.435973
InTouch,0.3,0.5,-0.2,1.5,8.6,Thailand,Asia,15.870032,100.992541
